mode: set
demo-source/cmd/api/main.go:8.2,12.38 3 1
demo-source/cmd/api/main.go:14.2,17.16 1 1
demo-source/cmd/api/main.go:19.2,21.38 2 1
demo-source/cmd/api/main.go:23.2,33.2 4 1
demo-source/cmd/worker/main.go:5.2,9.2 2 1
demo-source/cmd/worker/main.go:11.2,16.2 3 0
demo-source/internal/httpapi/router.go:5.2,10.2 4 1
demo-source/internal/httpapi/health_handler.go:8.2,12.9 3 1
demo-source/internal/httpapi/health_handler.go:13.2,15.2 2 1
demo-source/internal/httpapi/tenant_handler.go:6.2,13.2 6 1
demo-source/internal/httpapi/auth_handler.go:5.2,8.2 2 1
demo-source/internal/httpapi/auth_handler.go:9.2,11.2 2 0
demo-source/internal/service/health.go:5.2,9.2 3 1
demo-source/internal/service/health.go:11.2,13.2 1 1
demo-source/internal/service/health.go:15.2,22.2 5 1
demo-source/internal/service/tenant.go:10.2,16.2 5 1
demo-source/internal/service/tenant.go:18.2,21.2 3 0
demo-source/internal/service/auth.go:3.2,8.2 4 1
demo-source/internal/service/auth.go:10.2,18.2 6 1
demo-source/internal/service/metrics.go:3.2,9.2 5 1
demo-source/internal/service/metrics.go:11.2,19.2 6 0
demo-source/internal/store/tenant_store.go:10.2,15.2 4 1
demo-source/internal/store/auth_store.go:3.2,8.2 4 0
demo-source/internal/store/audit_store.go:10.2,12.2 2 1
demo-source/pkg/model/tenant.go:9.2,14.2 4 1
demo-source/pkg/model/user.go:9.2,11.2 2 1
demo-source/pkg/model/session.go:9.2,11.2 2 0
demo-source/pkg/model/health.go:8.2,10.2 2 1
demo-source/pkg/validator/tenant.go:5.2,8.2 3 1
demo-source/pkg/validator/auth.go:3.2,8.2 4 1
demo-source/pkg/validator/request.go:5.2,7.2 2 0
demo-source/pkg/utils/time.go:5.2,7.2 2 1
demo-source/pkg/utils/time.go:9.2,11.2 2 1
demo-source/pkg/utils/strings.go:5.2,9.2 4 1
demo-source/pkg/utils/http.go:3.2,5.2 2 1
demo-source/pkg/utils/http.go:7.2,9.2 2 0
demo-source/pkg/utils/math.go:3.2,8.2 4 1
demo-source/pkg/report/coverage.go:8.2,14.2 5 1
demo-source/pkg/report/route.go:8.2,14.2 5 0
demo-source/pkg/report/render.go:5.2,7.2 2 1
